#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 03 09 08 50 341  3.8  4.9 99.00 99.00 99.00 999 1021.9  13.3  13.2 999.0 99.0 99.00
2014 03 09 09 50 315  6.1  7.2  1.53 11.43  7.27 282 1021.9  13.3  13.1 999.0 99.0 99.00
2014 03 09 10 50 344  6.7  8.2  1.66 11.43  7.39 283 1021.5  13.6  13.1 999.0 99.0 99.00
2014 03 09 11 50  12  5.2  6.5  1.71 12.12  7.62 280 1020.6  13.5  13.1 999.0 99.0 99.00
2014 03 09 12 50 328  2.9  3.6  1.66 12.12  7.55 285 1020.7  13.3  13.1 999.0 99.0 99.00
2014 03 09 13 50  61  1.3  1.9  1.60 11.43  7.69 292 1020.3  13.3  13.1 999.0 99.0 99.00
2014 03 09 14 50 344  1.8  2.4  1.54 10.81  7.79 286 1020.6  13.4  13.1 999.0 99.0 99.00
2014 03 09 15 50  41  3.0  3.8  1.83 12.12  8.80 282 1020.8  14.0  13.1 999.0 99.0 99.00
2014 03 09 16 50  60  2.4  3.5  1.80 10.00  8.90 284 1021.3  15.9  13.1 999.0 99.0 99.00
2014 03 09 17 50 342  1.0  1.8  1.98 12.12  9.29 291 1021.4  14.9  13.2 999.0 99.0 99.00
2014 03 09 18 50 323  1.7  3.8  2.04 11.43  9.34 293 1021.4  14.6  13.4 999.0 99.0 99.00
2014 03 09 19 50 293  2.3  3.5  1.98 12.12  9.34 292 1021.3  13.9  13.7 999.0 99.0 99.00
2014 03 09 20 50 309  2.5  3.3  2.34 11.43  9.63 292 1020.9  13.9  13.8 999.0 99.0 99.00
2014 03 09 21 50 332  2.2  2.9  2.44 10.81  9.55 288 1020.0  14.0  14.0 999.0 99.0 99.00
2014 03 09 22 50 343  2.0  2.7  2.73 11.43  9.95 288 1019.6  14.1  14.1 999.0 99.0 99.00
2014 03 09 23 50 309  2.5  3.4  2.53 12.12 10.38 292 1019.7  14.3  14.4 999.0 99.0 99.00
2014 03 10 00 50 293  1.0  2.5  3.03 16.00 10.99 295 1019.5  14.7  14.3 999.0 99.0 99.00
2014 03 10 01 50 294  3.7  5.3  3.14 14.81 11.36 294 1019.7  14.0  14.3 999.0 99.0 99.00
2014 03 10 02 50 304  2.8  4.2  2.75 14.81 10.68 298 1020.0  13.8  14.2 999.0 99.0 99.00
2014 03 10 03 50 287  3.3  5.1 99.00 99.00 99.00 999 1020.5  13.8  14.2 999.0 99.0 99.00
2014 03 10 04 50 290  3.2  4.6  3.25 14.81 11.69 293 1020.6  13.7  14.1 999.0 99.0 99.00
